representation,model,accuracy,precision_weighted,recall_weighted,f1_weighted
OneHot,LinearSVM,0.9905865314989138,0.9906758563825007,0.9905865314989138,0.9888607535971692
TFIDF,LinearSVM,0.9898624185372918,0.9899659386981071,0.9898624185372918,0.9878012822682759
OneHot,NaiveBayes,0.9884141926140478,0.9870168933166762,0.9884141926140478,0.9872726373087898
Ngrams_1_2,LinearSVM,0.9891383055756698,0.9892570558791428,0.9891383055756698,0.9866995894152385
CountVectorizer,LinearSVM,0.9884141926140478,0.9875113489257935,0.9884141926140478,0.9860586083066012
Hashing,LinearSVM,0.9884141926140478,0.9875113489257935,0.9884141926140478,0.9860586083066012
OneHot,LogisticRegression,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
CountVectorizer,NaiveBayes,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
CountVectorizer,LogisticRegression,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
Ngrams_1_2,NaiveBayes,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
Ngrams_1_2,LogisticRegression,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
Hashing,LogisticRegression,0.9884141926140478,0.9885492056644305,0.9884141926140478,0.9855516918514746
Hashing,NaiveBayes,0.9826212889210717,0.9763033375024684,0.9826212889210717,0.9774649261097323
TFIDF,LogisticRegression,0.9840695148443157,0.9843236632659437,0.9840695148443157,0.9773937422047106
TFIDF,NaiveBayes,0.9826212889210717,0.9655445974409083,0.9826212889210717,0.9740081001211792
